HSAD,210,Health-Care Ethics I,3.00,ENGL101 or ENGL102 or ENGL103,,TERMS-OFFERED,0
HSAD,309,Advanced Health-Care Ethics,3.00,HSAD210,,TERMS-OFFERED,0
HSAD,313,Evolution of Health Care in the United States,3.00,ENGL101,,TERMS-OFFERED,0
HSAD,317,Religious Views on Health Care,3.00,ENGL101 or HUM101,,TERMS-OFFERED,0
HSAD,320,Managed Health Care,3.00,ENGL101 or ENGL105 or HUM106,,TERMS-OFFERED,0
HSAD,321,Health-Care Human Resources,3.00,HSAD310 and HSAD334,,TERMS-OFFERED,0
HSAD,324,Health Technology and Ethical Responsibility,3.00,HSAD210 or PHIL321,,TERMS-OFFERED,0
HSAD,332,Health-Care Marketing,3.00,HSAD310,,TERMS-OFFERED,0
HSAD,340,Leadership in Health Services Administration,3.00,HSAD310 and HSAD334,,TERMS-OFFERED,0
HSAD,342,Children and Health Care,3.00,ENGL101,,TERMS-OFFERED,0
HSAD,353,Public Health Ethics,3.00,HSAD210 or PHIL321,,TERMS-OFFERED,0
HSAD,562,Group Dynamics in Health Care Management,4.00,,,TERMS-OFFERED,0
HSAD,319,Women and the Health Professions,3.00,ENGL101 or HUM101,,TERMS-OFFERED,0
HSAD,322,Health-Care Law,3.00,ENGL101 or ENGL102 or ENGL103,,TERMS-OFFERED,0
HSAD,331,Non-profits and Health Care,3.00,HSAD310,,TERMS-OFFERED,0
HSAD,345,Ethics in Health Care Management,3.00,HSAD210 or PHIL321,,TERMS-OFFERED,0
HSAD,522,Applied Management Project,4.00,HSAD545 and PBHL701 and HSAD505,,TERMS-OFFERED,0
