PTRS,530,Kinesiology I,4.00,,,TERMS-OFFERED,0
PTRS,532,Human Gross Anatomy I,4.00,,,TERMS-OFFERED,0
PTRS,534,Physical Therapy Exam & Intervention I,3.00,,,TERMS-OFFERED,0
PTRS,537,Clinical Correlations I,3.00,,,TERMS-OFFERED,0
PTRS,613,Clinical Practice I,0.50,,,TERMS-OFFERED,0
PTRS,634,Health Professional Roles,3.00,,,TERMS-OFFERED,0
PTRS,645,Prosthesis Management,1.50,,,TERMS-OFFERED,0
PTRS,655,Health Administration,2.50,,,TERMS-OFFERED,0
PTRS,752,Research and Measurement in Physical Therapy,2.00,,,TERMS-OFFERED,0
PTRS,774,Clinical Education Seminar,0.50,,,TERMS-OFFERED,0
PTRS,775,Clinical Education I,1.00,,,TERMS-OFFERED,0
PTRS,777,Clinical Education III,2.00,,,TERMS-OFFERED,0
PTRS,633,Professional Development,1.00,,,TERMS-OFFERED,0
PTRS,644,Wound Care Management,1.50,,,TERMS-OFFERED,0
PTRS,652,Life Span Development I,3.00,,,TERMS-OFFERED,0
PTRS,740,Issues in Pediatric Health & Rehabilitation,4.00,,,TERMS-OFFERED,0
PTRS,767,Foundations in Hand Therapy,4.00,,,TERMS-OFFERED,0
PTRS,780,Foundations of School-based Practice,2.00,,,TERMS-OFFERED,0
