PSY,101,General Psychology I,3.00,,,TERMS-OFFERED,0
PSY,120,Developmental Psychology,3.00,,,TERMS-OFFERED,0
PSY,140,Approaches to Personality,3.00,,,TERMS-OFFERED,0
PSY,150,Introduction to Social Psychology,3.00,,,TERMS-OFFERED,0
PSY,210,Evolutionary Psychology,3.00,,,TERMS-OFFERED,0
PSY,213,Sensation and Perception,3.00,,,TERMS-OFFERED,0
PSY,225,Child Psychopathology,3.00,PSY101 or PSY112,,TERMS-OFFERED,0
PSY,240,Abnormal Psychology,3.00,,,TERMS-OFFERED,0
PSY,242,Psychology of Disability,3.00,,,TERMS-OFFERED,0
PSY,254,Psychology of Sexual Behavior,3.00,,,TERMS-OFFERED,0
PSY,264,Computer-Assisted Data Analysis I,3.00,PSY101 or PSY112,,TERMS-OFFERED,0
PSY,280,Psychological Research I,3.00,PSY264 and PSY265,,TERMS-OFFERED,0
PSY,290,History and Systems of Psychology,3.00,PSY101 or PSY112,,TERMS-OFFERED,0
PSY,310,Drugs & Human Behavior,3.00,PSY101 or PSY112,,TERMS-OFFERED,0
PSY,320,Educational Psychology,3.00,PSY101 or PSY112,,TERMS-OFFERED,0
PSY,325,Psychology of Learning,3.00,PSY101 or PSY112,,TERMS-OFFERED,0
PSY,330,Cognitive Psychology,3.00,PSY101 or PSY112,,TERMS-OFFERED,0
PSY,336,Psychology of Language,3.00,,,TERMS-OFFERED,0
PSY,345,Narrative Psychology,3.00,PSY101 or PSY112,,TERMS-OFFERED,0
PSY,355,Health Psychology,3.00,PSY101 or PSY112,,TERMS-OFFERED,0
PSY,357,The Psychology of Eating Disorders and Obesity,3.00,PSY101 or PSY112,,TERMS-OFFERED,0
PSY,360,Experimental Psychology,3.00,PSY265,,TERMS-OFFERED,0
PSY,380,Psychological Testing and Assessment,3.00,PSY280 and PSY360,,TERMS-OFFERED,0
PSY,410,Neuropsychology,3.00,PSY101 or PSY112 or PSY112,,TERMS-OFFERED,0
PSY,T480,ST:Integrated Mental Healthcare,12.00,,,TERMS-OFFERED,0
PSY,510,Research Methods I,3.00,,,TERMS-OFFERED,0
PSY,516,Developmental Psychology,3.00,,,TERMS-OFFERED,0
PSY,542,Neuropsychological Assessment,3.00,,,TERMS-OFFERED,0
PSY,560,"Teaching, Consultation and Supervision in Psychology",1.00 to 2.00,,,TERMS-OFFERED,0
PSY,711,Data Analysis III: Advanced Topics,3.00,PSY610 and PSY710,,TERMS-OFFERED,0
PSY,830,Advanced Topics in Health Psychology,3.00,,,TERMS-OFFERED,0
PSY,898,Master's Thesis in Psychology,3.00,,,TERMS-OFFERED,0
PSY,999,Internship,1.00 to 12.00,,,TERMS-OFFERED,0
PSY,212,Physiological Psychology,3.00,,,TERMS-OFFERED,0
PSY,222,Psychological Problems of Modern Youth,3.00,,,TERMS-OFFERED,0
PSY,250,Industrial Psychology,3.00,,,TERMS-OFFERED,0
PSY,322,Advanced Developmental Psychology,3.00,PSY101 or PSY112 and PSY120 or PSY112,,TERMS-OFFERED,0
PSY,342,Counseling Psychology,3.00,PSY101 or PSY112,,TERMS-OFFERED,0
PSY,352,Environmental Psychology,3.00,,,TERMS-OFFERED,0
PSY,356,Women's Health Psychology,3.00,PSY101 or PSY112,,TERMS-OFFERED,0
PSY,492,Psychology Senior Thesis III,4.00,PSY491,,TERMS-OFFERED,0
PSY,511,Research Methods II,3.00,PSY510,,TERMS-OFFERED,0
PSY,518,Social Psychology,3.00,,,TERMS-OFFERED,0
PSY,550,Multicultural Perspectives in Psychology,3.00,,,TERMS-OFFERED,0
PSY,722,Theories of Intervention,3.00,PSY721,,TERMS-OFFERED,0
PSY,998,Ph.D. Dissertation in Psychology,1.00 to 12.00,,,TERMS-OFFERED,0
