FDSC,154,"Foods: Composition, Interaction and Formulation",4.00,,,1010,0
FDSC,270,Microbial Food Safety and Sanitation,4.00,,,0100,0
FDSC,350,Experimental Foods: Product Development,3.00,FDSC154 or BIO311,,1000,0
FDSC,450,Food Microbiology,3.00,FDSC270,,1000,0
FDSC,451,Food Microbiology Laboratory,2.00,FDSC450,,1000,0
FDSC,454,Microbiology & Chemistry of Food Safety,3.00,BIO203,,0000,0
FDSC,456,Food Preservation Processes,3.00,NFS215 or BIO311,,0000,0
FDSC,460,Food Chemistry,3.00,NFS215 or BIO311,,0100,0
FDSC,461,Food Analysis,3.00,BIO306,,0000,0
FDSC,468,Functional Foods,3.00,FDSC154 and NFS215,,0100,0
FDSC,490,Seminar in Food Science,1.00,,,0010,0
FDSC,491,Senior Project I,2.00,FDSC350,,0100,0
FDSC,492,Senior Project II,2.00,FDSC491,,0010,0
