HIST,162,Themes in World Civilization II,3.00,,,TERMS-OFFERED,0
HIST,201,United States History to 1815,3.00,,,TERMS-OFFERED,0
HIST,203,United States History since 1900,3.00,,,TERMS-OFFERED,0
HIST,222,History of Work & Workers in America,3.00,,,TERMS-OFFERED,0
HIST,243,Germany & World of Hitler,3.00,,,TERMS-OFFERED,0
HIST,259,History of Europe in the 20th Century,3.00,,,TERMS-OFFERED,0
HIST,276,The History of Philadelphia,3.00,,,TERMS-OFFERED,0
HIST,281,History of Science: Enlightenment to Modernity,3.00,,,TERMS-OFFERED,0
HIST,285,Technology in Historical Perspective,3.00,,,TERMS-OFFERED,0
HIST,292,Technology in American Life,3.00,,,TERMS-OFFERED,0
HIST,298,ST:Politics of Environ Health,12.00,,,TERMS-OFFERED,0
HIST,163,Themes in World Civilization III,3.00,,,TERMS-OFFERED,0
HIST,202,"United States History, 1815-1900",3.00,,,TERMS-OFFERED,0
HIST,212,Themes in African-American History,3.00,,,TERMS-OFFERED,0
HIST,230,United States Military History I (before 1900),3.00,,,TERMS-OFFERED,0
HIST,253,Jewish Life and Culture in the Middle Ages,3.00,,,TERMS-OFFERED,0
HIST,280,History of Science: Ancient to Medieval,3.00,,,TERMS-OFFERED,0
HIST,282,History of Science: Medieval to Enlightenment,3.00,,,TERMS-OFFERED,0
HIST,296,Research Methods in History,3.00,,,TERMS-OFFERED,0
