CFTP,507,Collaborative Approaches,4.00,,,TERMS-OFFERED,0
CFTP,509,Couples Therapy,4.00,,,TERMS-OFFERED,0
CFTP,511,Object Relations Theory,4.00,,,TERMS-OFFERED,0
CFTP,525,Research in Couple and Family Therapy,4.00,,,TERMS-OFFERED,0
CFTP,528,Person of the Therapist Experience III,2.00,CFTP526 and CFTP527 and CFTP532,,TERMS-OFFERED,0
CFTP,535,Practicum VI,2.00,CFTP534,,TERMS-OFFERED,0
CFTP,537,Nosology & Couple and Family Therapy Practice,4.00,,,TERMS-OFFERED,0
CFTP,759,Psychotherapy Outcome and Process Research,3.00,,,TERMS-OFFERED,0
CFTP,801,Couple and Family Therapy Internship,1.00 to 20.00,,,TERMS-OFFERED,0
CFTP,802,Couple and Family Therapy Dissertation,1.00 to 20.00,,,TERMS-OFFERED,0
CFTP,510,Sex Therapy,4.00,CFTP509,,TERMS-OFFERED,0
CFTP,520,Family Life Cycle,4.00,,,TERMS-OFFERED,0
CFTP,536,Practicum VII,2.00,CFTP535,,TERMS-OFFERED,0
CFTP,753,Introduction to Emotionally Focused Therapy,4.00,,,TERMS-OFFERED,0
