CIVE,240,Engineering Economic Analysis,3.00,,,TERMS-OFFERED,0
CIVE,300,Theory of Structures I,3.00,CIVE250 and MEM230,,TERMS-OFFERED,0
CIVE,310,Soil Mechanics I,4.00,EGEO220 or CAEE211 and CIVE250,,TERMS-OFFERED,0
CIVE,372,Structural Laboratory,1.00,,CIVE371,TERMS-OFFERED,0
CIVE,402,Structural Design III,3.00,CIVE401,,TERMS-OFFERED,0
CIVE,477,Seminar,2.00,,,TERMS-OFFERED,0
CIVE,530,Geotechnical Engineering for Highways,3.00,,,TERMS-OFFERED,0
CIVE,714,Behavior of Concrete Structures I,3.00,,,TERMS-OFFERED,0
CIVE,790,ST:Forensic Structural Enginee,9.00,,,TERMS-OFFERED,0
CIVE,997,Research,1.00 to 12.00,,,TERMS-OFFERED,0
CIVE,320,Introduction to Fluid Flow,3.00,TDEC202 or ENGR210,,TERMS-OFFERED,0
CIVE,430,Hydrology,3.00,CAEE211,,TERMS-OFFERED,0
CIVE,520,Advanced Concrete Technology,3.00,,,TERMS-OFFERED,0
CIVE,703,Structural Analysis III,3.00,CIVE702,,TERMS-OFFERED,0
CIVE,998,Ph.D. Dissertation,1.00 to 12.00,,,TERMS-OFFERED,0
