MATE,120,Modern Materials in Your World,3.00,,,TERMS-OFFERED,0
MATE,245,Kinetics of Materials,4.00,MATE240,,TERMS-OFFERED,0
MATE,315,Processing Polymers,4.50,MATE214,,TERMS-OFFERED,0
MATE,345,Processing of Ceramics,4.50,MATE355,,TERMS-OFFERED,0
MATE,492,Senior Project Design II,3.00,MATE491,,TERMS-OFFERED,0
MATE,510,Thermodynamics of Solids,3.00,,,TERMS-OFFERED,0
MATE,585,Nanostructured Carbon Materials,3.00,,,TERMS-OFFERED,0
MATE,661,Biomedical Materials I,3.00,,,TERMS-OFFERED,0
MATE,897,Research,1.00 to 12.00,,,TERMS-OFFERED,0
MATE,898,Master's Thesis,1.00 to 12.00,,,TERMS-OFFERED,0
MATE,998,Ph.D. Dissertation,1.00 to 12.00,,,TERMS-OFFERED,0
MATE,221,Introduction to Mechanical Behavior of Materials,3.00,ENGR220,,TERMS-OFFERED,0
MATE,341,Defects in Solids,3.00,MATE355,,TERMS-OFFERED,0
MATE,351,Electronic and Photonic Properties of Materials,4.00,MATE355,,TERMS-OFFERED,0
MATE,501,Structure and Properties of Polymers,3.00,,,TERMS-OFFERED,0
MATE,536,Materials Seminar Series,1.00,,,TERMS-OFFERED,0
MATE,610,Mechanical Behavior of Solids,3.00,,,TERMS-OFFERED,0
