NURS,112,Relationship-Based Health Assessment & Promotion,5.00,ANAT101 and ANAT102 and NURS110 and ANAT103,,TERMS-OFFERED,0
NURS,200,Principles of Nursing Practice,6.00,ANAT103 and BIO226 and MATH108 and CHEM103,NURS112 INFO204,TERMS-OFFERED,0
NURS,205,Strategies for Academic Success,1.00,,,TERMS-OFFERED,0
NURS,300,Comprehensive Adult Nursing I,6.00,NURS200 and NURS112,NURS301,TERMS-OFFERED,0
NURS,303,Women's Health Nursing,6.00,NURS300 and NURS301,,TERMS-OFFERED,0
NURS,304,Nursing of Children,6.00,NURS300 and NURS301 and NURS308,,TERMS-OFFERED,0
NURS,306,Pharmacology for Nursing II,3.00,NURS301,,TERMS-OFFERED,0
NURS,311,Group Dynamics and Leading Teams,3.00,NURS310,,TERMS-OFFERED,0
NURS,324,Intro to Online Learning:Tools for Success,3.00,,,TERMS-OFFERED,0
NURS,325,Critical Issues in Nursing,3.00,NURS324,,TERMS-OFFERED,0
NURS,330,Research Basis of Nursing,4.00,STS345 and NURS304,,TERMS-OFFERED,0
NURS,335,Genetics and Genomics: Application to Nursing Practice,3.00,NURS325,,TERMS-OFFERED,0
NURS,337,Genetics in Nursing and Health,3.00,ANAT103 and NURS300 and NURS301,,TERMS-OFFERED,0
NURS,340,Transformational Leadership,3.00,,,TERMS-OFFERED,0
NURS,346,Health Assessment,6.00,NURS325,,TERMS-OFFERED,0
NURS,375,Nurses Building a Healthy Community,6.00,NURS346 and NURS330,,TERMS-OFFERED,0
NURS,380,"Complex Systems of Care: Technology, Patient Safety & Quality",4.00,NURS325,,TERMS-OFFERED,0
NURS,388,Nursing Case Study I,1.00,NURS300 and NURS301,,TERMS-OFFERED,0
NURS,400,"Leadership, Management, and Entrepreneurship in Nursing",3.00,NURS305,,TERMS-OFFERED,0
NURS,401,Comprehensive Adult Nursing III,6.00,NURS303 and NURS304 and NURS305 and NURS306 and NURS308,,TERMS-OFFERED,0
NURS,403,Community Public Health Nursing,6.00,NURS303 and NURS304 and NURS305 and NURS306 and NURS308,,TERMS-OFFERED,0
NURS,407,Issues in Aging and Longevity,4.00,NURS325 and NURS330 and NURS380,,TERMS-OFFERED,0
NURS,410,Pharmacology for Practicing Nurses,5.00,,,TERMS-OFFERED,0
NURS,450,Contemporary Gerontological Nursing,6.00,NURS303 and NURS304 and NURS305 and NURS306 and NURS308 and NURS401,,TERMS-OFFERED,0
NURS,460,Global Health & Policy Issues,6.00,NURS330 and NURS325 and NURS407,,TERMS-OFFERED,0
NURS,465,Senior Capstone in Nursing,3.00,NURS325 and NURS330 and NURS407,,TERMS-OFFERED,0
NURS,488,Nursing Case Study II,1.00,NURS305 and NURS306,,TERMS-OFFERED,0
NURS,489,Synthesis of Nursing Knowledge,4.00,NURS401,,TERMS-OFFERED,0
NURS,492,Senior Seminar in Nursing,3.00,NURS303 and NURS304 and NURS305 and NURS306 and NURS308 and NURS401 and NURS403 and NURS489,,TERMS-OFFERED,0
NURS,500,Confronting Issues in Contemporary Health Care Environments,3.00,,,TERMS-OFFERED,0
NURS,502,Advanced Ethical Decision Making in Health Care,3.00,,,TERMS-OFFERED,0
NURS,504,Overview of Nurse Anesthesia,3.00,,NURS503 NURS549 NURS526,TERMS-OFFERED,0
